vin,perc_days,avg_daily_max,avg_daily_mean,overall_max,overall_mean,mean_day_length_g,mean_day_length_r_g,mean_drive_length_r_g,mean_drive_length_g
ZHWCA6ZX1NLA18083,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZHWCA6ZX3MLA17225,0.2585034013605442,105.66633321662582,41.5277347071475,138,41.5277347071475,3836.875,4111.9473684210525,805.4329896907217,1227.8
ZHWCA6ZX3MLA17810,0.2073170731707317,68.57818181818182,30.152242424242424,87,30.152242424242424,3442.5555555555557,2108.5,992.2352941176471,2383.3076923076924
ZHWCA6ZXXMLA17982,0.0975609756097561,123.97360703812316,48.7008797653959,155,48.7008797653959,580,392.6666666666667,392.6666666666667,580
ZHWCF4ZF1MLA17592,0.16083916083916083,86.87372380440624,27.91241268135411,158,27.912412681354112,2482.125,2869.608695652174,785.7261904761905,1527.4615384615386
ZHWCF4ZF2LLA13100,0.8571428571428571,110.52667814113597,44.582903040734365,138,44.582903040734365,2862.75,2329.6,1058.909090909091,1431.375
ZHWCF4ZF3LLA13784,0.1,165.09124356144224,54.841059602649004,197,54.841059602649004,3747.6666666666665,3931.6666666666665,1474.375,1873.8333333333333
ZHWCF4ZF3MLA17299,0.15625,178.3326269689906,80.77240940877304,211,80.77240940877304,5960.384615384615,2846.689655172414,1289.90625,2671.896551724138
ZHWCF4ZF6LLA12841,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZHWCF4ZF7LLA13643,0.045454545454545456,62.75,25.2,74,25.2,341,337,134.8,341
ZHWCF4ZF9LLA13403,0.6046511627906976,149.3725450081833,52.43825013638843,184,52.43825013638843,6457.478260869565,8983.84,1328.9704142011835,2121.7428571428572
ZHWCF4ZF9LLA14244,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZHWCF4ZF9MLA16867,0.3080168776371308,143.89763478450865,61.30163325503906,246,61.30163325503906,2266.171875,2137.972222222222,986.7564102564103,1283.495575221239
ZHWCF4ZFXLLA13099,0.057971014492753624,91.16135328562135,37.53610930383864,121,37.53610930383865,2245.75,2690.25,672.5625,898.3
ZHWCF4ZFXLLA13586,0.2716049382716049,205.02129162181558,95.56784325349838,269,95.56784325349838,9260.916666666666,6946.318181818182,1697.9888888888888,3472.84375
ZHWCF4ZFXLLA14494,0.45161290322580644,113.00724919093851,40.99766990291262,131,40.99766990291262,4788.428571428572,4885.785714285715,1628.595238095238,1971.7058823529412
ZHWCF4ZFXMLA17249,0.3790849673202614,103.3260035219217,43.9371020905766,136,43.9371020905766,2631.8245614035086,2682.6101694915255,820.0725388601036,1000.0933333333334
ZHWCF5ZF0MLA17525,0.5271317829457365,135.84872126304128,49.540762625796326,211,49.540762625796326,2747.4615384615386,2287.7611940298507,901.6470588235294,1391.5714285714287
ZHWCF5ZF0NLA17946,0.28125,154.6812227074236,38.986275733000625,173,38.986275733000625,4467.333333333333,3512.375,1338.047619047619,2233.6666666666665
ZHWCF5ZF2MLA17509,0.28125,133.55806451612904,63.453763440860214,143,63.453763440860214,4385.833333333333,3099.4444444444443,1328.3333333333333,2024.2307692307693
ZHWCF5ZF2MLA17848,0.06521739130434782,164.97248968363135,79.59834938101788,171,79.59834938101788,61.06666666666667,61.06666666666667,30.533333333333335,30.533333333333335
ZHWCF5ZF2NLA18225,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZHWCF5ZF4MLA17575,0.44,138.37199876646548,69.70069166042558,170,69.70069166042558,3119.8536585365855,3300.754716981132,1060.2424242424242,1776.5833333333333
ZHWCF5ZF6MLA16296,0.2972972972972973,135.76821999458141,56.33378488214576,196,56.33378488214576,1900.8627450980391,1796.323076923077,822.2605633802817,1168
ZHWCF5ZF7MLA15898,0.125,142.75749464668095,52.88195931477516,159,52.88195931477516,4263.25,4918.5,1405.2857142857142,2131.625
ZHWCF5ZF7MLA16274,0.6242774566473989,178.10362027090906,67.5928539992502,248,67.5928539992502,4201.760416666667,4338.811320754717,1372.8776119402985,1738.6594827586207
ZHWCF5ZF7MLA17277,0.2552083333333333,135.86817531183968,54.39158884874923,188,54.39158884874924,2660.0833333333335,2228.191489361702,960.7798165137615,1450.9545454545455
ZHWCF5ZF7MLA17456,0.7628205128205128,148.06795764056713,50.968375633991265,229,50.968375633991265,4847.309734513275,6116.915966386555,1168.3996789727128,1560.5299145299145
ZHWCF5ZF8MLA17062,0.37575757575757573,140.78632598231277,50.4113679614911,172,50.4113679614911,4148.102040816327,4328.131147540984,1168.212389380531,1722.5169491525423
ZHWCF5ZF8MLA17420,0.46285714285714286,148.58654569233283,62.4514140918751,223,62.4514140918751,5963.206896551724,5366.111111111111,1833.987341772152,3007.5304347826086
ZHWCF5ZF9MLA17247,0.24864864864864866,137.37874841381154,62.9404261003139,155,62.9404261003139,5339.333333333333,4492.869565217391,2175.4947368421053,2669.6666666666665
ZHWCF5ZFXMLA17726,0.1912568306010929,148.91412835787344,48.92177138361245,176,48.92177138361245,3149.5882352941176,1865.3714285714286,621.7904761904762,1447.1081081081081
